date;home_team;away_team;home_pitcher;away_pitcher;home_pct;away_pct;o75;o85;o95;both_scored;avg_total_runs
2026-06-17;Reds;Mets;Nick Lodolo;Nolan McLean;27.85;72.15;26.23;17.15;10.81;92.91;5.95
2026-06-17;Nationals;Royals;Zack Littell;Luinder Avila;52.25;47.75;51.96;39.5;29.03;95.81;7.92
2026-06-17;Phillies;Marlins;Andrew Painter;Sandy Alcantara;44.24;55.76;34.49;23.3;14.64;95.16;6.63
2026-06-17;Astros;Tigers;Peter Lambert;Casey Mize;40.47;59.53;9.04;4.49;2.03;91.83;4.55
2026-06-17;Cardinals;Padres;Kyle Leahy;Bradgley Rodriguez;26.21;73.79;37.36;26.25;17.76;95.63;6.84
2026-06-17;Dodgers;Rays;Shohei Ohtani;Shane McClanahan;65.88;34.12;5.93;2.64;1.21;89.34;4.09
2026-06-17;Diamondbacks;Angels;Eduardo Rodriguez;Sam Aldegheri;34.65;65.35;35.36;23.8;14.76;96.75;6.68
2026-06-17;RedSox;BlueJays;Jake Bennett;Max Scherzer;68.06;31.94;42.99;31.45;21.29;95.52;7.24
2026-06-17;Yankees;WhiteSox;Carlos Rodón;Anthony Kay;85.07;14.93;32.99;22.43;14.27;95.21;6.52
2026-06-17;Braves;Giants;Grant Holmes;Adrian Houser;67.61;32.39;51.17;38.7;27.89;96.31;7.85
2026-06-17;Brewers;Guardians;Brandon Sproat;Gavin Williams;56.21;43.79;30.21;20.26;12.87;93.03;6.24
2026-06-17;Cubs;Rockies;Javier Assad;Sean Sullivan;28.34;71.66;9.25;4.37;1.99;94.45;4.72
2026-06-17;Mariners;Orioles;George Kirby;Kyle Bradish;47.95;52.05;25.16;15.67;9.36;95.37;5.97
2026-06-17;Athletics;Pirates;Aaron Civale;Braxton Ashcraft;25.22;74.78;28.33;18.49;11.11;93.68;6.18
